WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
711,7,11,MAY,5,1
711,7,11,JUNE,6,"6,7"
711,7,11,JULY,7,"13,16"
711,7,11,AUGUST,8,"20,21"
711,7,11,APRIL,4,30
711,7,11,SEPTEMBER,7,"26,27"
711,7,11,NOVEMBER,7,"2,5"
712,7,12,MAY,5,"2,3"
712,7,12,JUNE,6,"8,11"
712,7,12,JULY,7,"17,18"
712,7,12,AUGUST,8,"22,23"
712,7,12,SEPTEMBER,9,"28,"
712,7,12,OCTOBER,10,1
712,7,12,NOVEMBER,11,"6,7"
713,7,13,MAY,5,"4,7"
713,7,13,JUNE,6,"12,13"
713,7,13,JULY,7,"19,20"
713,7,13,AUGUST,8,"24,27"
713,7,13,OCTOBER,10,"2,3"
713,7,13,NOVEMBER,11,"8,9"
801,8,1,APRIL,4,"2,3"
801,8,1,MAY,5,"16,17"
801,8,1,JULY,7,"1,3"
801,8,1,AUGUST,8,"16,17"
801,8,1,OCTOBER,10,"2,3"
801,8,1,NOVEMBER,11,"15,16"
802,8,2,APRIL,4,"4,5"
802,8,2,MAY,5,"18,21"
802,8,2,JULY,7,"5,6"
802,8,2,AUGUST,8,"20,21"
802,8,2,OCTOBER,10,"4,5"
803,8,3,APRIL,4,"6,9"
803,8,3,MAY,5,"22,23"
803,8,3,JULY,7,"9,10"
803,8,3,AUGUST,8,"22,23"
803,8,3,OCTOBER,10,"8,9"
804,8,4,APRIL,4,"10,11"
804,8,4,MAY,5,"24,25"
804,8,4,JULY,7,"11,12"
804,8,4,AUGUST,8,"24,27"
804,8,4,OCTOBER,10,"10,11"
805,8,5,APRIL,4,"12,13"
805,8,5,MAY,5,"29,30"
805,8,5,JULY,7,"13,16"
805,8,5,AUGUST,8,"28,29"
805,8,5,OCTOBER,10,"12,15"
806,8,6,APRIL,4,"16,17"
806,8,6,MAY,5,31
806,8,6,JUNE,6,1
806,8,6,JULY,7,"17,18"
806,8,6,AUGUST,8,"30,31"
806,8,6,OCTOBER,10,"16,17"
807,8,7,APRIL,4,"18,19"
807,8,7,JUNE,6,"4,5"
807,8,7,JULY,7,"19,20"
807,8,7,SEPTEMBER,9,"4,5"
807,8,7,OCTOBER,10,"18,19"
808,8,8,APRIL,4,"20,23"
808,8,8,JUNE,6,"6,7"
808,8,8,JULY,7,"23,24"
808,8,8,SEPTEMBER,9,"6,7"
808,8,8,OCTOBER,10,"22,23"
809,8,9,APRIL,4,"24,25"
809,8,9,JUNE,6,"8,11"
809,8,9,JULY,7,"25,26"
809,8,9,SEPTEMBER,9,"10,11"
809,8,9,OCTOBER,10,"24,25"
810,8,10,APRIL,4,"26,27"
810,8,10,JUNE,6,"12,13"
810,8,10,JULY,7,"27,30"
810,8,10,SEPTEMBER,9,"12,13"
810,8,10,OCTOBER,10,"26,29"
811,8,11,APRIL,4,30
811,8,11,MAY,5,1
811,8,11,JUNE,6,"14,15"
811,8,11,JULY,7,31
811,8,11,AUGUST,8,1
811,8,11,SEPTEMBER,9,"14,17"
811,8,11,OCTOBER,10,"30,31"
812,8,12,MAY,5,"2,3"
812,8,12,JUNE,6,"18,19"
812,8,12,AUGUST,8,"2,3"
812,8,12,SEPTEMBER,9,"18,19"
812,8,12,NOVEMBER,11,"1,2"
813,8,13,MAY,5,"4,7"
813,8,13,JUNE,6,"20,21"
813,8,13,AUGUST,8,"6,7"
813,8,13,SEPTEMBER,9,"20,21"
813,8,13,NOVEMBER,11,"5,6"
814,8,14,MAY,5,"8,9"
814,8,14,JUNE,6,"22,25"
814,8,14,AUGUST,8,"8,9"
814,8,14,SEPTEMBER,9,"24,25"
814,8,14,NOVEMBER,11,"7,8"
815,8,15,MAY,5,"10,11"
815,8,15,JUNE,6,"26,27"
815,8,15,AUGUST,8,"10,13"
815,8,15,SEPTEMBER,9,"26,27"
815,8,15,NOVEMBER,11,"9,12"
816,8,16,MAY,5,"14,15"
816,8,16,JUNE,6,"28,29"
816,8,16,AUGUST,8,"14,15"
816,8,16,SEPTEMBER,9,28
816,8,16,OCTOBER,10,1
816,8,16,NOVEMBER,11,"13,14"
901,9,1,APRIL,4,"2,3"
901,9,1,MAY,5,"18,21"
901,9,1,JULY,7,"9,10"
901,9,1,AUGUST,8,"24,27"
901,9,1,OCTOBER,10,"15,16"
902,9,2,APRIL,4,"4,5"
902,9,2,MAY,5,"22,23"
902,9,2,JULY,7,"11,12"
902,9,2,AUGUST,8,"28,29"
902,9,2,OCTOBER,10,"17,18"
903,9,3,APRIL,4,"6,9"
903,9,3,MAY,5,"24,25"
903,9,3,JULY,7,"13,16"
903,9,3,AUGUST,8,"30,31"
903,9,3,OCTOBER,10,"19,22"
904,9,4,APRIL,4,"10,11"
904,9,4,MAY,5,"29,30"
904,9,4,JULY,7,"17,18"
904,9,4,SEPTEMBER,9,"4,5"
904,9,4,OCTOBER,10,"23,24"
905,9,5,APRIL,4,"12,13"
905,9,5,MAY,5,31
905,9,5,JUNE,6,1
905,9,5,JULY,7,"19,20"
905,9,5,SEPTEMBER,9,"6,7"
905,9,5,OCTOBER,10,"25,26"
906,9,6,APRIL,4,"16,17"
906,9,6,JUNE,6,"4,5"
906,9,6,JULY,7,"23,24"
906,9,6,SEPTEMBER,9,"10,11"
906,9,6,OCTOBER,10,"29,30"
907,9,7,APRIL,4,"18,19"
907,9,7,JUNE,6,"6,7"
907,9,7,JULY,7,"25,26"
907,9,7,SEPTEMBER,9,"12,13"
907,9,7,OCTOBER,10,31
907,9,7,NOVEMBER,11,1
908,9,8,APRIL,4,"20,23"
908,9,8,JUNE,6,"8,11"
908,9,8,JULY,7,"27,30"
908,9,8,SEPTEMBER,9,"14,17"
908,9,8,NOVEMBER,11,"2,5"
909,9,9,APRIL,4,"24,25"
909,9,9,JUNE,6,"12,13"
909,9,9,JULY,7,31
909,9,9,AUGUST,8,1
909,9,9,SEPTEMBER,9,"18,19"
909,9,9,NOVEMBER,11,"6,7"
910,9,10,APRIL,4,"26,27"
910,9,10,JUNE,6,"14,15"
910,9,10,AUGUST,8,"2,3"
910,9,10,SEPTEMBER,9,"20,21"
910,9,10,NOVEMBER,11,"8,9"
911,9,11,APRIL,4,30
911,9,11,MAY,5,1
911,9,11,JUNE,6,"18,19"
911,9,11,AUGUST,8,"6,7"
911,9,11,SEPTEMBER,9,"24,25"
911,9,11,NOVEMBER,11,"12,13"
912,9,12,MAY,5,"2,3"
912,9,12,JUNE,6,"20,21"
912,9,12,AUGUST,8,"8,9"
912,9,12,SEPTEMBER,9,"26,27"
912,9,12,NOVEMBER,11,"14,15"
913,9,13,MAY,5,"4,7"
913,9,13,JUNE,6,"22,25"
913,9,13,AUGUST,8,"10,13"
913,9,13,SEPTEMBER,9,28
913,9,13,OCTOBER,10,1
913,9,13,NOVEMBER,11,16
914,9,14,MAY,5,"8,9"
914,9,14,JUNE,6,"26,27"
914,9,14,AUGUST,8,"14,15"
914,9,14,OCTOBER,10,"2,3"
915,9,15,MAY,5,"10,11"
915,9,15,JUNE,6,"28,29"
915,9,15,AUGUST,8,"16,17"
915,9,15,OCTOBER,10,"4,5"
916,9,16,MAY,5,"14,15"
916,9,16,JULY,7,"2,3"
916,9,16,AUGUST,8,"20,21"
916,9,16,OCTOBER,10,"9,10"
917,9,17,MAY,5,"16,17"
917,9,17,JULY,7,"5,6"
917,9,17,AUGUST,8,"22,23"
917,9,17,OCTOBER,10,"11,12"
1001,10,1,APRIL,4,"2,3"
1001,10,1,MAY,5,"18,21"
1001,10,1,JULY,7,"9,10"
1001,10,1,AUGUST,8,"24,27"
1001,10,1,OCTOBER,10,"15,16"
1002,10,2,APRIL,4,"4,5"
1002,10,2,MAY,5,"22,23"
1002,10,2,JULY,7,"11,12"
1002,10,2,AUGUST,8,"28,29"
1002,10,2,OCTOBER,10,"17,18"
1003,10,3,APRIL,4,"6,9"
1003,10,3,MAY,5,"24,25"
1003,10,3,JULY,7,"13,16"
1003,10,3,AUGUST,8,"30,31"
1003,10,3,OCTOBER,10,"19,22"
1004,10,4,APRIL,4,"10,11"
1004,10,4,MAY,5,"29,30"
1004,10,4,JULY,7,"17,18"
1004,10,4,SEPTEMBER,9,"4,5"
1004,10,4,OCTOBER,10,"23,24"
1005,10,5,APRIL,4,"12,13"
1005,10,5,MAY,5,31
1005,10,5,JUNE,6,1
1005,10,5,JULY,7,"19,20"
1005,10,5,SEPTEMBER,9,"6,7"
1005,10,5,OCTOBER,10,"25,26"
1006,10,6,APRIL,4,"16,17"
1006,10,6,JUNE,6,"4,5"
1006,10,6,JULY,7,"23,24"
1006,10,6,SEPTEMBER,9,"10,11"
1006,10,6,OCTOBER,10,"29,30"
1007,10,7,APRIL,4,"18,19"
1007,10,7,JUNE,6,"6,7"
1007,10,7,JULY,7,"25,26"
1007,10,7,SEPTEMBER,9,"12,13"
1007,10,7,OCTOBER,10,31
1007,10,7,NOVEMBER,11,1
1008,10,8,APRIL,4,"20,23"
1008,10,8,JUNE,6,"8,11"
1008,10,8,JULY,7,"27,30"
1008,10,8,SEPTEMBER,9,"14,17"
1008,10,8,NOVEMBER,11,"2,5"
1009,10,9,APRIL,4,"24,25"
1009,10,9,JUNE,6,"12,13"
1009,10,9,JULY,7,31
1009,10,9,AUGUST,8,1
1009,10,9,SEPTEMBER,9,"18,19"
1009,10,9,NOVEMBER,11,"6,7"
1010,10,10,APRIL,4,"26,27"
1010,10,10,JUNE,6,"14,15"
1010,10,10,AUGUST,8,"2,3"
1010,10,10,SEPTEMBER,9,"20,21"
1010,10,10,NOVEMBER,11,"8,9"
1011,10,11,APRIL,4,30
1011,10,11,MAY,5,1
1011,10,11,JUNE,6,"18,19"
1011,10,11,AUGUST,8,"6,7"
1011,10,11,SEPTEMBER,9,"24,25"
1011,10,11,NOVEMBER,11,"12,13"
1012,10,12,MAY,5,"2,3"
1012,10,12,JUNE,6,"20,21"
1012,10,12,AUGUST,8,"8,9"
1012,10,12,SEPTEMBER,9,"26,27"
1012,10,12,NOVEMBER,11,"14,15"
1013,10,13,MAY,5,"4,7"
1013,10,13,JUNE,6,"22,25"
1013,10,13,AUGUST,8,"10,13"
1013,10,13,SEPTEMBER,9,28
1013,10,13,OCTOBER,10,1
1013,10,13,NOVEMBER,11,16
1014,10,14,MAY,5,"8,9"
1014,10,14,JUNE,6,"26,27"
1014,10,14,AUGUST,8,"14,15"
1014,10,14,OCTOBER,10,"2,3"
1015,10,15,MAY,5,"10,11"
1015,10,15,JUNE,6,"28,29"
1015,10,15,AUGUST,8,"16,17"
1015,10,15,OCTOBER,10,"4,5"
1016,10,16,MAY,5,"14,15"
1016,10,16,JULY,7,"2,3"
1016,10,16,AUGUST,8,"20,21"
1016,10,16,OCTOBER,10,"9,10"
1017,10,17,MAY,5,"16,17"
1017,10,17,JULY,7,"5,6"
1017,10,17,AUGUST,8,"22,23"
1017,10,17,OCTOBER,10,"11,12"
1101,11,1,APRIL,4,"2,3"
1101,11,1,MAY,5,31
1101,11,1,JUNE,6,1
1101,11,1,JULY,7,31
1101,11,1,AUGUST,8,1
1101,11,1,SEPTEMBER,9,28
1101,11,1,OCTOBER,10,1
1102,11,2,APRIL,4,"4,5,6,9"
1102,11,2,JUNE,6,"4,5,6,7"
1102,11,2,AUGUST,8,"2,3,6,7"
1102,11,2,OCTOBER,10,"2,3,4,5"
1103,11,3,APRIL,4,"10,11"
1103,11,3,JUNE,5,"8,11"
1103,11,3,AUGUST,6,"8,9"
1103,11,3,OCTOBER,7,"9,10"
1104,11,4,APRIL,4,"12,13,16,17"
1104,11,4,JUNE,5,"12,13,14,15"
1104,11,4,AUGUST,6,"10,13,14,15"
1104,11,4,OCTOBER,7,"11,12,15,16"
1105,11,5,APRIL,4,"18,19,20,23"
1105,11,5,JUNE,5,"18,19,20,21"
1105,11,5,AUGUST,6,"16,17,20,21"
1105,11,5,OCTOBER,7,"17,18,19,22"
1106,11,6,APRIL,4,"24,25"
1106,11,6,JUNE,5,"22,25"
1106,11,6,AUGUST,6,"22,23"
1106,11,6,OCTOBER,7,"23,24"
1107,11,7,APRIL,4,"26,27"
1107,11,7,JUNE,5,"26,27"
1107,11,7,AUGUST,6,"24,27"
1107,11,7,OCTOBER,7,"25,26"
1108,11,8,APRIL,4,30
1108,11,8,MAY,5,"1,2,3"
1108,11,8,JUNE,6,"28,29"
1108,11,8,JULY,7,"2,3"
1108,11,8,AUGUST,8,"28,29,30,31"
1108,11,8,OCTOBER,10,"29,30,31"
1108,11,8,NOVEMBER,11,1
1109,11,9,MAY,5,"4,7"
1109,11,9,JULY,7,"5,6"
1109,11,9,SEPTEMBER,9,"4,5"
1109,11,9,NOVEMBER,11,"2,5"
1110,11,10,MAY,4,"8,9,10,11"
1110,11,10,JULY,5,"9,10,11,12"
1110,11,10,SEPTEMBER,6,"6,7,10,11"
1110,11,10,NOVEMBER,7,"6,7,8,9"
1111,11,11,MAY,4,"14,15,16,17"
1111,11,11,JULY,5,"13,16,17,18"
1111,11,11,SEPTEMBER,6,"12,13,14,17"
1111,11,11,NOVEMBER,7,"12,13,14,15"
1112,11,12,MAY,4,"18,21,22,23"
1112,11,12,JULY,5,"19,20,23,24"
1112,11,12,SEPTEMBER,6,"18,19,20,21"
1112,11,12,NOVEMBER,7,16
1113,11,13,MAY,4,"24,25,29,30"
1113,11,13,JULY,5,"25,26,27,30"
1113,11,13,SEPTEMBER,6,"24,25,26,27"
1201,12,1,APRIL,4,"2,3,30"
1201,12,1,MAY,5,"1,29,30"
1201,12,1,JUNE,6,"26,27"
1201,12,1,JULY,7,"25,26"
1201,12,1,AUGUST,8,"22,23"
1201,12,1,SEPTEMBER,9,"20,21"
1201,12,1,OCTOBER,10,"19,22"
1201,12,1,NOVEMBER,11,16
1202,12,2,APRIL,4,"4,5"
1202,12,2,MAY,5,"2,3,31"
1202,12,2,JUNE,6,"1,28,29"
1202,12,2,JULY,7,"27,30"
1202,12,2,AUGUST,8,"24,27"
1202,12,2,SEPTEMBER,9,"24,25"
1202,12,2,OCTOBER,10,"23,24"
1203,12,3,APRIL,4,"6,9"
1203,12,3,MAY,5,"4,7"
1203,12,3,JUNE,6,"4,5"
1203,12,3,JULY,7,"2,3,31"
1203,12,3,AUGUST,8,"1,28,29"
1203,12,3,SEPTEMBER,9,"26,27"
1203,12,3,OCTOBER,10,"25,26"
1204,12,4,APRIL,4,"10,11"
1204,12,4,MAY,5,"8,9"
1204,12,4,JUNE,6,"6,7"
1204,12,4,JULY,7,"5,6"
1204,12,4,AUGUST,8,"2,3,30,31"
1204,12,4,SEPTEMBER,9,28
1204,12,4,OCTOBER,10,"1,29,30"
1205,12,5,APRIL,4,"12,13"
1205,12,5,MAY,5,"10,11"
1205,12,5,JUNE,6,"8,11"
1205,12,5,JULY,7,"9,10"
1205,12,5,AUGUST,8,"6,7"
1205,12,5,SEPTEMBER,9,"4,5"
1205,12,5,OCTOBER,10,"2,3,31"
1205,12,5,NOVEMBER,11,1
1206,12,6,APRIL,4,"16,17"
1206,12,6,MAY,5,"14,15"
1206,12,6,JUNE,6,"12,13"
1206,12,6,JULY,7,"11,12"
1206,12,6,AUGUST,8,"8,9"
1206,12,6,SEPTEMBER,9,"6,7"
1206,12,6,OCTOBER,10,"4,5"
1206,12,6,NOVEMBER,11,"2,5"
1207,12,7,APRIL,4,"18,19"
1207,12,7,MAY,5,"16,17"
1207,12,7,JUNE,6,"14,15"
1207,12,7,JULY,7,"13,16"
1207,12,7,AUGUST,8,"10,13"
1207,12,7,SEPTEMBER,9,"10,11"
1207,12,7,OCTOBER,10,"9,10"
1207,12,7,NOVEMBER,11,"6,7"
1208,12,8,APRIL,4,"20,23"
1208,12,8,MAY,5,"18,21"
1208,12,8,JUNE,6,"18,19"
1208,12,8,JULY,7,"17,18"
1208,12,8,AUGUST,8,"14,15"
1208,12,8,SEPTEMBER,9,"12,13"
1208,12,8,OCTOBER,10,"11,12"
1208,12,8,NOVEMBER,11,"8,9"
1209,12,9,APRIL,4,"24,25"
1209,12,9,MAY,5,"22,23"
1209,12,9,JUNE,6,"20,21"
1209,12,9,JULY,7,"19,20"
1209,12,9,AUGUST,8,"16,17"
1209,12,9,SEPTEMBER,9,"14,17"
1209,12,9,OCTOBER,10,"15,16"
1209,12,9,NOVEMBER,11,"12,13"
1210,12,10,APRIL,4,"26,27"
1210,12,10,MAY,5,"24,25"
1210,12,10,JUNE,6,"22,25"
1210,12,10,JULY,7,"23,24"
1210,12,10,AUGUST,8,"20,21"
1210,12,10,SEPTEMBER,9,"18,19"
1210,12,10,OCTOBER,10,"17,18"
1210,12,10,NOVEMBER,11,"14,15"
1301,13,1,APRIL,4,"2,3"
1301,13,1,JUNE,6,"18,19"
1301,13,1,SEPTEMBER,9,"4,5"
1302,13,2,APRIL,4,"4,5"
1302,13,2,JUNE,6,"20,21"
1302,13,2,SEPTEMBER,9,"6,7"
1303,13,3,APRIL,4,"6,9"
1303,13,3,JUNE,6,"22,25"
1303,13,3,SEPTEMBER,9,"10,11"
1304,13,4,APRIL,4,"10,11"
1304,13,4,JUNE,6,"26,27"
1304,13,4,SEPTEMBER,9,"12,13"
1305,13,5,APRIL,4,"12,13"
1305,13,5,JUNE,6,"28,29"
1305,13,5,SEPTEMBER,9,"14,17"
1306,13,6,APRIL,4,"16,17"
1306,13,6,SEPTEMBER,9,"18,19"
1306,13,6,JULY,7,"2,3"
1307,13,7,APRIL,4,"18,19"
1307,13,7,SEPTEMBER,9,"20,21"
1307,13,7,JULY,7,"5,6"
1308,13,8,APRIL,4,"20,23"
1308,13,8,SEPTEMBER,9,"24,25"
1308,13,8,JULY,7,"9,10"
1309,13,9,APRIL,4,"24,25"
1309,13,9,SEPTEMBER,9,"26,27"
1309,13,9,JULY,7,"11,12"
1310,13,10,APRIL,4,"26,27"
1310,13,10,SEPTEMBER,9,28
1310,13,10,OCTOBER,10,1
1310,13,10,JULY,7,"13,16"
1311,13,11,APRIL,4,30
1311,13,11,SEPTEMBER,9,"17,18"
1311,13,11,OCTOBER,10,"2,3"
1311,13,11,JULY,7,1
1312,13,12,OCTOBER,10,"4,5"
1312,13,12,MAY,5,"2,3"
1312,13,12,JULY,7,"19,20"
1313,13,13,OCTOBER,10,"9,10"
1313,13,13,MAY,5,"4,7"
1313,13,13,JULY,7,"23,24"
1314,13,14,OCTOBER,10,"11,12"
1314,13,14,MAY,5,"8,9"
1314,13,14,JULY,7,"25,26"
1315,13,15,OCTOBER,10,"15,16"
1315,13,15,MAY,5,"14,15"
1315,13,15,JULY,7,"27,30"
1316,13,16,OCTOBER,10,"17,18"
1316,13,16,MAY,5,"10,11"
1316,13,16,AUGUST,8,"2,3"
1317,13,17,OCTOBER,10,"19,22"
1317,13,17,MAY,5,"16,17"
1317,13,17,JULY,7,31
1317,13,17,AUGUST,8,1
1318,13,18,OCTOBER,10,"23,24"
1318,13,18,MAY,5,"18,21"
1318,13,18,AUGUST,8,"6,7"
1319,13,19,OCTOBER,10,"29,30"
1319,13,19,MAY,5,"29,30"
1319,13,19,AUGUST,8,"10,13"
1320,13,20,OCTOBER,10,"25,26"
1320,13,20,MAY,5,"24,25"
1320,13,20,AUGUST,8,"8,9"
1321,13,21,NOVEMBER,10,1
1321,13,21,MAY,5,"22,23"
1321,13,21,AUGUST,7,"14,15"
1321,13,21,OCTOBER,8,31
1322,13,22,NOVEMBER,10,"6,7"
1322,13,22,MAY,5,31
1322,13,22,JUNE,6,1
1322,13,22,AUGUST,8,"16,17"
1323,13,23,NOVEMBER,10,"2,5"
1323,13,23,JUNE,6,"4,5"
1323,13,23,AUGUST,8,"20,21"
1324,13,24,NOVEMBER,10,"8,9"
1324,13,24,JUNE,6,"6,7"
1324,13,24,AUGUST,8,"22,23"
1325,13,25,NOVEMBER,10,"12,13"
1325,13,25,JUNE,6,"8,11"
1325,13,25,AUGUST,8,"24,27"
1326,13,26,NOVEMBER,10,"14,15"
1326,13,26,JUNE,6,"12,13"
1326,13,26,AUGUST,8,"28,29"
1327,13,27,NOVEMBER,10,16
1327,13,27,JUNE,6,"14,15"
1327,13,27,AUGUST,8,"30,31"
1401,14,1,APRIL,4,"2,3"
1401,14,1,MAY,5,"4,7"
1401,14,1,JUNE,6,"8,11"
1401,14,1,JULY,7,"13,16"
1401,14,1,AUGUST,8,"16,17"
1401,14,1,SEPTEMBER,9,"20,21"
1401,14,1,OCTOBER,10,"25,26"
1402,14,2,APRIL,4,"4,5"
1402,14,2,MAY,5,"8,9"
1402,14,2,JUNE,6,"12,13"
1402,14,2,JULY,7,"17,18"
1402,14,2,AUGUST,8,"20,21"
1402,14,2,SEPTEMBER,9,"24,25"
1402,14,2,OCTOBER,10,"29,30"
1403,14,3,APRIL,4,"6,9"
1403,14,3,MAY,5,"10,11"
1403,14,3,JUNE,6,"14,15"
1403,14,3,JULY,7,"19,20"
1403,14,3,AUGUST,8,"22,23"
1403,14,3,SEPTEMBER,9,"26,27"
1403,14,3,OCTOBER,10,31
1403,14,3,NOVEMBER,11,1
1404,14,4,APRIL,4,"10,11"
1404,14,4,MAY,5,"14,15"
1404,14,4,JUNE,6,"18,19"
1404,14,4,JULY,7,"23,24"
1404,14,4,AUGUST,8,"24,27"
1404,14,4,SEPTEMBER,9,28
1404,14,4,OCTOBER,10,1
1404,14,4,NOVEMBER,11,"2,5"
1405,14,5,APRIL,4,"12,13"
1405,14,5,MAY,5,"16,17"
